1/0: cDist = 9; avg = 9
2/0: cDist = 5.09902; avg = 7.04951
3/0: cDist = 8.24621; avg = 7.64786
4/0: cDist = 3.60555; avg = 5.62671
5/0: cDist = 10.198; avg = 7.91237
6/0: cDist = 3; avg = 5.45619
7/0: cDist = 6.7082; avg = 6.0822
8/0: cDist = 5.65685; avg = 5.86952
9/0: cDist = 4.12311; avg = 4.99632
10/0: cDist = 37.3363; avg = 21.1663
11/0: cDist = 5.09902; avg = 13.1327
12/0: cDist = 6.7082; avg = 9.92043
13/0: cDist = 16.2788; avg = 13.0996
14/0: cDist = 46.8402; avg = 29.9699
15/0: cDist = 16.4012; avg = 23.1856
16/0: cDist = 46.1736; avg = 34.6796
17/0: cDist = 16.1245; avg = 25.402
18/0: cDist = 46.4866; avg = 35.9443
19/0: cDist = 16.5529; avg = 26.2486
20/0: cDist = 43.0813; avg = 34.665
21/0: cDist = 16.4924; avg = 25.5787
22/0: cDist = 50.9215; avg = 38.2501
0/1: cDist = 9; avg = 23.6251
2/1: cDist = 4.12311; avg = 13.8741
3/1: cDist = 17.1172; avg = 15.4957
4/1: cDist = 6.32456; avg = 10.9101
5/1: cDist = 2.23607; avg = 6.57309
6/1: cDist = 9.48683; avg = 8.02996
7/1: cDist = 4.24264; avg = 6.1363
8/1: cDist = 13.6015; avg = 9.86889
9/1: cDist = 8.94427; avg = 9.40658
10/1: cDist = 46.2709; avg = 27.8388
11/1: cDist = 11.1803; avg = 19.5096
12/1: cDist = 13.4164; avg = 16.463
13/1: cDist = 12.1655; avg = 14.3143
14/1: cDist = 55.5428; avg = 34.9285
15/1: cDist = 13.0384; avg = 23.9835
16/1: cDist = 54.8179; avg = 39.4007
17/1: cDist = 14.0357; avg = 26.7182
18/1: cDist = 55.0818; avg = 40.9
19/1: cDist = 15.1327; avg = 28.0164
20/1: cDist = 51.5461; avg = 39.7812
21/1: cDist = 16.7631; avg = 28.2721
22/1: cDist = 59.4811; avg = 43.8766
0/2: cDist = 5.09902; avg = 24.4878
1/2: cDist = 4.12311; avg = 14.3055
3/2: cDist = 13.0384; avg = 13.6719
4/2: cDist = 2.23607; avg = 7.954
5/2: cDist = 5.09902; avg = 6.52651
6/2: cDist = 5.38516; avg = 5.95584
7/2: cDist = 2.23607; avg = 4.09595
8/2: cDist = 9.48683; avg = 6.79139
9/2: cDist = 5; avg = 5.8957
10/2: cDist = 42.19; avg = 24.0429
11/2: cDist = 7.2111; avg = 15.627
12/2: cDist = 9.43398; avg = 12.5305
13/2: cDist = 12.53; avg = 12.5302
14/2: cDist = 51.4198; avg = 31.975
15/2: cDist = 13; avg = 22.4875
16/2: cDist = 50.6952; avg = 36.5913
17/2: cDist = 13.3417; avg = 24.9665
18/2: cDist = 50.9608; avg = 37.9636
19/2: cDist = 14.1421; avg = 26.0529
20/2: cDist = 47.4342; avg = 36.7435
21/2: cDist = 15.0333; avg = 25.8884
22/2: cDist = 55.3624; avg = 40.6254
0/3: cDist = 8.24621; avg = 24.4358
1/3: cDist = 17.1172; avg = 20.7765
